segmentKeys,lat_dd,lon_dd,width_m,MSR_03min_glon,MSR_03min_glat
60_3365,41.39520683,-99.0989267799,246.0,306,170
60_3498,41.3711803057,-99.065528327,123.0,306,170
60_3628,41.3368712157,-99.0441605973,127.0,307,171
60_3755,41.3098559845,-99.010811594,169.0,307,171
60_3887,41.276347494,-98.9962984758,129.0,308,172
60_4014,41.2541811567,-98.959416365,171.0,308,172
60_4146,41.2201254095,-98.9449422695,84.0,309,173
60_4277,41.1863325099,-98.9220764424,189.0,309,174
60_4410,41.1571270714,-98.8970816914,95.0,310,175
60_4535,41.1308778317,-98.8626317373,159.0,310,175
60_4664,41.1024613031,-98.8316088802,225.0,311,175
60_4792,41.0798393602,-98.7964880699,129.0,312,176
60_4921,41.0682704497,-98.7536741421,171.0,312,176
60_5050,41.0634576266,-98.7172726103,60.0,313,176
61_730,41.413658573,-97.0466185038,491.0,347,169
61_823,41.4133571505,-97.0132464169,473.0,347,169
61_901,41.4281664709,-96.9869455663,551.0,348,169
61_1065,41.4546153925,-96.9318941678,437.0,349,168
61_1156,41.4571287717,-96.8991293567,571.0,351,169
61_1248,41.4569257112,-96.8660919882,390.0,351,169
61_1337,41.4490375256,-96.8343881617,360.0,351,169
61_1428,41.4470676513,-96.8017740742,379.0,352,169
61_1516,41.4521299999,-96.7699984525,360.0,352,168
61_1607,41.4490618079,-96.737423126,511.0,353,169
61_1686,41.4348720672,-96.7099105764,480.0,353,169
61_1776,41.4286893289,-96.6778169402,495.0,354,169
61_1862,41.4364320798,-96.6466622655,474.0,355,169
62_819,42.3091838457,-96.3701826181,211.0,360,151
62_900,42.2872300802,-96.3670942701,225.0,361,152
62_971,42.2707946434,-96.3455900676,216.0,361,152
62_1354,42.1725679923,-96.3504304313,208.0,361,154
62_1579,42.1254716043,-96.2888849423,210.0,362,155
62_1737,42.0880582671,-96.2719820317,237.0,362,156
62_1820,42.0663520559,-96.2794385892,208.0,362,156
62_2214,41.994160434,-96.1984954145,202.0,364,158
62_2369,41.9739317335,-96.1450757398,235.0,365,158
62_2525,41.9319224615,-96.1397151878,223.0,365,159
62_2603,41.9136074876,-96.1474060943,228.0,365,159
62_2683,41.8969915962,-96.1582713311,234.0,365,160
62_2759,41.8764330917,-96.1463499541,170.0,365,160
62_2832,41.8592012862,-96.1270593317,237.0,365,160
62_2908,41.8422363792,-96.1077668382,219.0,365,161
63_427,42.8024030448,-97.1707870555,585.0,344,142
63_497,42.7898509511,-97.1462145797,678.0,345,142
63_569,42.7710743324,-97.1295405625,531.0,345,142
63_651,42.7663941359,-97.0996154191,819.0,345,142
63_734,42.7660201852,-97.0691944142,1005.0,347,142
63_818,42.7638768437,-97.0384630107,1063.0,347,142
63_900,42.7598480405,-97.0085274374,1230.0,347,142
63_981,42.7577079248,-96.9789009729,579.0,348,142
63_1212,42.7226836954,-96.9313077266,586.0,349,143
63_1286,42.7326053872,-96.9049595125,861.0,349,143
63_1441,42.7203623271,-96.8493150666,844.0,351,143
63_1511,42.705497087,-96.8274845445,995.0,351,143
63_1669,42.6743665863,-96.8029419327,651.0,352,144
63_1743,42.6626758497,-96.7780969349,445.0,352,144
63_1824,42.6620970588,-96.7484684976,720.0,353,144
63_1905,42.6628603825,-96.7187915699,754.0,353,144
63_2050,42.6286009314,-96.7010199452,424.0,353,145
63_2128,42.6079865888,-96.7103729465,778.0,353,145
63_2197,42.5890298656,-96.6946148792,432.0,354,146
63_2267,42.5712303719,-96.6760819311,237.0,354,146
63_2492,42.5212624994,-96.6304581722,258.0,355,147
63_2563,42.5047764501,-96.6106348336,270.0,355,147
63_2641,42.5083633071,-96.5820176869,296.0,356,147
63_2714,42.5190156169,-96.5556778875,284.0,356,147
63_2790,42.5115373677,-96.5282179708,254.0,357,147
64_1190,42.7825571506,-98.5658060453,189.0,316,142
64_1259,42.7801620933,-98.5405167031,278.0,317,142
64_1326,42.7789802533,-98.5159533475,108.0,317,142
64_1391,42.7715893856,-98.4936419636,203.0,318,142
64_1458,42.7664803076,-98.4691164391,242.0,318,142
64_1527,42.7694669693,-98.4437892388,216.0,319,142
64_1593,42.7762449673,-98.4213579852,189.0,319,142
64_1664,42.7734089651,-98.395347678,323.0,320,142
64_1735,42.772458099,-98.3693206258,270.0,320,142
64_1806,42.7706908853,-98.3433030049,252.0,321,142
64_1875,42.7652751879,-98.3180602716,366.0,321,142
64_1943,42.7591808573,-98.2931962867,313.0,322,142
64_2010,42.7529484284,-98.2687053965,311.0,322,142
64_2077,42.746710793,-98.2442194798,325.0,323,143
64_2145,42.7401953171,-98.2193754414,298.0,323,143
64_2209,42.7311210401,-98.1964020387,279.0,324,143
64_2271,42.7205590827,-98.1738214746,312.0,324,143
68_198,41.6255236806,-98.2590786006,63.0,322,165
68_254,41.6166284701,-98.241716306,60.0,323,165
68_311,41.6062724562,-98.2285165798,30.0,323,165
68_366,41.601979536,-98.2130875858,42.0,323,165
68_421,41.59917313,-98.1980022154,36.0,324,166
68_479,41.5896176297,-98.1840830692,92.0,324,166
68_534,41.5887402655,-98.1747359629,63.0,324,166
68_591,41.5815100446,-98.1651110326,48.0,324,166
68_648,41.5788071692,-98.1466123565,30.0,325,166
68_701,41.5656329195,-98.1556008529,54.0,325,166
68_818,41.548955475,-98.1295592414,30.0,325,167
68_874,41.5407689803,-98.1190590003,67.0,325,167
68_987,41.5163338466,-98.1041105503,42.0,325,167
68_1099,41.5003265426,-98.0958844197,63.0,326,168
68_1156,41.4952727287,-98.0889462124,45.0,326,168
68_1213,41.4907373385,-98.0793063734,67.0,326,168
68_1271,41.4761542925,-98.0804110513,67.0,326,168
68_1384,41.4566023461,-98.0684746238,67.0,326,168
69_1752,42.8047350138,-97.9028496973,625.0,330,141
69_1799,42.7921532876,-97.9149936716,1067.0,329,142
69_1844,42.7817637055,-97.9305790441,1039.0,329,142
69_1891,42.7738198443,-97.9479512704,1242.0,329,142
69_1945,42.7692729458,-97.9678293058,1130.0,328,142
69_2000,42.7656712285,-97.9880557104,641.0,328,142
69_2056,42.7682819228,-98.0085473512,1735.0,327,142
69_2108,42.7653389645,-98.0276608095,951.0,327,142
70_435,41.4420524156,-97.4468822059,94.0,339,169
70_484,41.4490370314,-97.4639545064,94.0,338,169
70_587,41.4395300279,-97.5011652213,180.0,337,169
70_640,41.4367771593,-97.5181052057,162.0,337,169
70_691,41.4437604529,-97.5359021156,84.0,337,169
70_741,41.4573198348,-97.5397278575,129.0,337,169
70_840,41.4604659875,-97.5642630821,127.0,336,168
70_891,41.4643356552,-97.582139246,84.0,336,168
70_941,41.4615752916,-97.599441745,129.0,336,168
70_992,41.4525643441,-97.6140022749,101.0,335,168
70_1198,41.4392504466,-97.6649178183,92.0,334,169
70_1252,41.4404193714,-97.6842852931,96.0,334,169
70_1356,41.427056613,-97.6973006102,80.0,334,169
70_1406,41.4192546568,-97.7123544111,84.0,333,169
70_1459,41.4163551928,-97.7310780659,80.0,333,169
70_1509,41.4081571474,-97.747389195,92.0,333,169
70_1564,41.4085054338,-97.7671234469,209.0,332,169
73_122,41.8172186431,-100.111856403,92.0,286,161
73_192,41.8214287068,-100.137215039,105.0,286,161
73_259,41.8247131557,-100.160031527,42.0,284,161
73_295,41.8225586452,-100.172635736,63.0,284,161
73_401,41.8157348224,-100.205379781,122.0,283,161
73_505,41.8097049437,-100.226213912,42.0,283,161
73_641,41.7952861266,-100.260241323,167.0,282,162
73_677,41.7889734546,-100.269143692,96.0,282,162
73_710,41.7815795382,-100.278022853,84.0,282,162
73_744,41.7752493432,-100.288365114,42.0,282,162
73_777,41.7735045191,-100.299339289,36.0,282,162
73_846,41.7720978586,-100.316094881,82.0,282,162
73_879,41.7729250516,-100.326398877,48.0,282,162
73_915,41.7738569616,-100.339231995,30.0,282,162
73_949,41.775646612,-100.347932396,63.0,282,162
73_1018,41.77834258,-100.371272073,87.0,280,162
75_173,41.9470436595,-100.429714399,42.0,279,159
75_203,41.9412043807,-100.421260302,63.0,279,159
75_234,41.937678277,-100.411411316,54.0,279,159
75_265,41.9327962817,-100.401895577,75.0,279,159
75_295,41.9283208504,-100.392209226,87.0,280,159
75_327,41.9238336848,-100.383428479,48.0,280,159
75_360,41.9227505269,-100.372370389,72.0,280,159
75_391,41.9188278162,-100.361433191,136.0,280,159
75_423,41.9176138358,-100.349830923,123.0,281,159
75_456,41.9165379563,-100.337870217,92.0,281,159
75_488,41.9134306607,-100.326229597,42.0,281,159
75_516,41.9094910506,-100.316381621,82.0,281,159
75_547,41.9034833659,-100.310109543,72.0,281,159
75_581,41.9015969807,-100.297774034,36.0,282,159
75_615,41.9013300788,-100.285471731,60.0,282,159
75_649,41.9009267883,-100.273166815,54.0,282,159
75_682,41.8982220222,-100.261178425,48.0,283,160
75_716,41.8959251334,-100.24883735,36.0,283,160
75_745,41.8895396906,-100.239672764,150.0,283,160
75_777,41.8858607256,-100.230019575,67.0,283,160
75_808,41.8819223079,-100.219277863,30.0,283,160
75_837,41.8755344251,-100.2101182,42.0,283,160
75_868,41.8677097163,-100.209066892,45.0,283,160
75_899,41.8636341961,-100.198326964,54.0,284,160
75_930,41.8595632554,-100.187046328,105.0,284,160
75_963,41.8573896313,-100.175079025,67.0,284,160
75_996,41.8562953531,-100.163132088,84.0,284,160
75_1024,41.849614527,-100.155783366,108.0,284,160
75_1055,41.8464776653,-100.145247277,63.0,285,161
75_1085,41.8422627739,-100.134331824,42.0,285,161
77_13,41.2240873456,-98.4209355955,84.0,319,173
77_38,41.2230511006,-98.4298927026,135.0,319,173
77_114,41.2071553161,-98.4396921683,172.0,319,173
77_138,41.2020530604,-98.4463550703,127.0,319,173
77_237,41.1823869199,-98.459218989,137.0,318,174
77_260,41.1775495649,-98.4649815158,190.0,318,174
77_285,41.1708137377,-98.4693279323,140.0,318,174
77_310,41.1640679094,-98.4715279444,160.0,318,174
77_332,41.1584224658,-98.4780095026,190.0,318,174
77_354,41.1525056162,-98.4843133032,108.0,318,174
77_379,41.1503810877,-98.4927317551,108.0,318,174
77_403,41.144456405,-98.497424804,142.0,318,174
77_427,41.138262834,-98.5024764943,138.0,317,175
77_451,41.1347865634,-98.5110812977,216.0,317,175
77_474,41.130223495,-98.5184421685,139.0,317,175
77_498,41.1240282308,-98.5233121009,67.0,317,175
77_523,41.1172768578,-98.524432981,67.0,317,175
77_547,41.1116283418,-98.5309053884,183.0,317,175
77_571,41.1059729842,-98.5357689577,190.0,317,175
77_595,41.1003202574,-98.5413461747,202.0,317,175
77_619,41.095485662,-98.5488815531,169.0,317,175
78_50,42.6927951112,-98.0430765667,84.0,327,144
78_72,42.686829285,-98.0404216335,63.0,327,144
78_95,42.6806116991,-98.0399680753,90.0,327,144
