segmentKeys,lat_dd,lon_dd,width_m
95_1653,47.9206778151,-110.056210332,210.0
97_1221,47.7927130435,-110.700442502,256.0
97_1349,47.7805336028,-110.742562235,214.0
97_1475,47.7643001576,-110.790283892,150.0
97_1538,47.7562411668,-110.812732361,208.0
97_1602,47.7635669753,-110.837527361,159.0
97_1665,47.7695373153,-110.861932505,108.0
97_1729,47.7633509384,-110.881565617,150.0
97_1794,47.754997544,-110.896394841,134.0
97_1855,47.7431367771,-110.916027521,170.0
97_1920,47.7341059594,-110.934047323,152.0
97_1986,47.7221010681,-110.947463329,161.0
97_2048,47.7075299772,-110.960075261,190.0
97_2111,47.6959281449,-110.979675552,138.0
97_2176,47.6797333722,-110.986876469,189.0
101_800,45.6122653354,-108.984316382,254.0
101_842,45.6091759596,-109.000586172,200.0
101_882,45.6033588466,-109.015411511,151.0
101_923,45.599422207,-109.029783263,189.0
101_964,45.5913400507,-109.03872008,192.0
101_1006,45.5871468967,-109.05405744,242.0
101_1047,45.5828264493,-109.069973705,255.0
101_1091,45.5852700457,-109.086811292,218.0
101_1134,45.5829818655,-109.103425143,208.0
101_1176,45.5864874335,-109.119459598,433.0
101_1218,45.5874268556,-109.135581029,237.0
101_1295,45.6029458802,-109.160072167,189.0
101_1377,45.6132884531,-109.190515275,96.0
101_1412,45.6198374247,-109.203388174,189.0
101_1450,45.6253234121,-109.217452322,165.0
101_1491,45.6217839372,-109.23295754,276.0
101_1531,45.6253947265,-109.248238067,191.0
104_224,47.5652313508,-111.108149299,152.0
104_246,47.5658975811,-111.116925034,136.0
104_265,47.569128831,-111.124510552,315.0
104_285,47.566015638,-111.132479886,339.0
104_305,47.5606108227,-111.13765059,298.0
104_325,47.5552067607,-111.142022727,233.0
104_345,47.5523633227,-111.149192223,265.0
104_365,47.5493833783,-111.157157955,317.0
104_388,47.5493704463,-111.166328233,218.0
104_409,47.5473334806,-111.174694361,235.0
104_427,47.5432732892,-111.181856809,212.0
104_448,47.5398868312,-111.189419212,218.0
104_468,47.5354221777,-111.195780792,171.0
114_145,46.1289144914,-107.465069196,120.0
114_429,46.0724984721,-107.501544265,229.0
114_712,46.0096530729,-107.510720834,122.0
114_1001,45.9567020549,-107.56059151,108.0
114_1285,45.9046198485,-107.559161338,107.0
114_1580,45.8329924804,-107.598172448,139.0
114_2154,45.7127178108,-107.58526607,150.0
114_2716,45.5870220641,-107.690248411,190.0
114_2997,45.5190349228,-107.733099571,84.0
114_2433,45.6453628668,-107.63760276,180.0
117_160,47.938207795,-103.96068944,215.0
117_495,47.8478281821,-103.965704518,676.0
117_1125,47.751651502,-104.0830861,254.0
117_1437,47.6809371901,-104.136288925,301.0
117_1752,47.6104692363,-104.1897421,190.0
117_2681,47.4081886599,-104.34375596,401.0
117_2997,47.3510948817,-104.418743343,435.0
117_3917,47.2095051276,-104.65144924,296.0
117_4233,47.1348529952,-104.695453435,234.0
117_4543,47.0626476619,-104.755322363,399.0
117_5182,46.9316388918,-104.87513545,213.0
117_5482,46.8752787871,-104.966208372,174.0
117_5784,46.8532516781,-105.082312914,214.0
117_6107,46.8230304966,-105.184723343,169.0
117_6423,46.8041467817,-105.30437892,189.0
117_6739,46.7881194255,-105.420828897,169.0
121_35,47.9909396224,-103.804216808,360.0
121_47,47.9877389428,-103.807909498,277.0
121_59,47.9845422972,-103.812003693,212.0
121_72,47.9827072175,-103.81727237,558.0
121_85,47.9797800867,-103.821359446,396.0
121_100,47.9798417992,-103.827388359,583.0
121_114,47.9812484144,-103.832984947,218.0
121_128,47.9829246199,-103.83857579,237.0
121_142,47.9841957637,-103.844176036,292.0
121_157,47.9837165588,-103.850217498,313.0
121_171,47.9825583753,-103.855871806,256.0
121_184,47.979090127,-103.859968595,258.0
121_196,47.9758876138,-103.863657012,317.0
121_207,47.9729588037,-103.86774095,450.0
121_220,47.9694861656,-103.871434327,366.0
121_232,47.9665610018,-103.87591915,402.0
121_244,47.9640443724,-103.880796532,373.0
121_258,47.9622099913,-103.886462528,379.0
121_272,47.9609150608,-103.892116586,365.0
121_287,47.9600285062,-103.898163537,263.0
121_301,47.9584631269,-103.903822783,342.0
121_315,47.9571673344,-103.90947601,242.0
121_330,47.9562798595,-103.915522243,208.0
121_344,47.9566027053,-103.921141238,366.0
121_358,47.9594796518,-103.925702744,301.0
121_370,47.9627499903,-103.92905097,333.0
121_383,47.9662882351,-103.932193135,303.0
121_397,47.9700962654,-103.93533018,402.0
121_409,47.9733681839,-103.93888064,402.0
121_421,47.9761113488,-103.943648315,324.0
121_433,47.9785844472,-103.948421976,360.0
121_445,47.9813272209,-103.953190639,504.0
121_457,47.9837999274,-103.95796524,561.0
126_459,46.1095437873,-107.625508904,137.0
126_564,46.1088793932,-107.665851476,365.0
126_767,46.0763325634,-107.717824545,219.0
126_866,46.061989635,-107.747375141,212.0
126_966,46.0557140375,-107.78352071,291.0
126_1060,46.0352677656,-107.813509005,259.0
126_1164,46.0337292339,-107.853750362,211.0
126_1267,46.0272074016,-107.892953964,107.0
126_1363,46.0087610153,-107.92279866,225.0
126_1465,45.9999045553,-107.957396285,292.0
126_1569,45.99723746,-107.99754717,219.0
126_1675,45.9962821159,-108.038276883,195.0
126_1775,45.9941284671,-108.07519596,218.0
126_1879,45.9969048376,-108.115342329,89.0
126_1982,46.0007362489,-108.155051102,134.0
126_2080,45.9924483178,-108.191116784,216.0
126_2181,45.9828378268,-108.228786978,127.0
126_2279,45.966323721,-108.260588397,138.0
133_186,46.3197944827,-107.158949628,206.0
133_219,46.3250893331,-107.171629575,232.0
133_254,46.3209546635,-107.183157119,255.0
133_290,46.3170135326,-107.191573249,291.0
133_327,46.3175457442,-107.206012782,199.0
133_364,46.3174016455,-107.220425233,247.0
133_400,46.3157795001,-107.234387744,284.0
133_436,46.3119973644,-107.24826094,306.0
133_474,46.3099517634,-107.262983073,170.0
133_509,46.3056615368,-107.275078575,379.0
133_542,46.2967500419,-107.281915717,171.0
133_577,46.2968818908,-107.295555006,296.0
133_610,46.2961032681,-107.307403179,211.0
133_646,46.2864226973,-107.305438615,257.0
133_819,46.2586106597,-107.338722165,321.0
133_852,46.2518018527,-107.348163034,117.0
133_885,46.2483162598,-107.360079215,279.0
133_919,46.2439959302,-107.373125392,219.0
133_957,46.2432834759,-107.387882674,184.0
133_995,46.2432435253,-107.402668954,377.0
133_1029,46.2371896353,-107.414467145,258.0
133_1062,46.2281724788,-107.419518244,373.0
133_1099,46.2181543677,-107.420828346,255.0
133_1135,46.2088518006,-107.420224939,296.0
133_1169,46.2036096524,-107.431855383,175.0
133_1203,46.1945617529,-107.425623801,248.0
133_1239,46.1848586694,-107.42480801,219.0
145_373,47.4701695261,-101.441936145,321.0
145_610,47.4072682525,-101.403633536,384.0
145_837,47.3503266665,-101.363705411,256.0
145_1315,47.2599993852,-101.24408377,343.0
145_1549,47.2780798602,-101.18157645,678.0
145_1796,47.292706032,-101.084764285,604.0
145_2019,47.2639302509,-100.99519631,339.0
145_2255,47.2002567845,-100.993005107,390.0
145_2482,47.1403418971,-100.944867775,474.0
145_2731,47.0735308772,-100.920503344,445.0
145_2958,47.0144665628,-100.884437618,324.0
167_11849,48.0319304121,-106.132879744,270.0
167_12323,48.0075510176,-106.042244991,373.0
167_12801,48.0073893841,-105.901862605,279.0
167_13285,48.0390365762,-105.782275378,337.0
167_13769,48.0523301789,-105.640567409,169.0
167_14246,48.0883097964,-105.517336309,337.0
167_15736,48.064612995,-105.082212219,240.0
167_16220,48.0705793594,-104.983958374,160.0
167_16706,48.149608023,-104.886326309,152.0
167_17181,48.1182764725,-104.717097003,223.0
167_17658,48.1251601658,-104.584222624,256.0
167_18609,48.0497425489,-104.286735673,150.0
